GW,mean_kmeans_mJ,mean_pso_mJ,min_kmeans_mJ,min_pso_mJ,max_kmeans_mJ,max_pso_mJ
1,24.03,28.19,8.08,8.07,108.47,111.92
2,14.59,35.57,8.08,8.07,57.92,191.23
3,10.84,25.70,8.06,8.05,30.94,189.32
4,9.93,14.67,8.05,8.06,16.19,111.16
5,9.57,11.06,8.05,8.09,15.83,33.81
6,9.50,10.47,8.05,8.05,14.03,22.88
7,9.28,10.75,8.05,8.05,14.16,33.45
8,9.21,11.18,8.05,8.05,14.06,33.16
9,9.20,9.65,8.05,8.05,15.93,15.93
10,9.14,10.15,8.05,8.06,16.60,32.43
