GW,v_kmeans,v_pso,p_kmeans,p_pso
1,0.9488,0.9596,0.0000,0.0000
2,0.9704,0.9652,0.0000,0.0000
3,0.9792,0.9752,0.0000,0.0000
4,0.9812,0.9836,0.0000,0.0000
5,0.9888,0.9860,0.0000,0.0000
6,0.9872,0.9868,0.0000,0.0000
7,0.9928,0.9856,0.0000,0.0000
8,0.9920,0.9904,0.0000,0.0000
9,0.9928,0.9892,0.0000,0.0000
10,0.9952,0.9920,0.0000,0.0000
