GW,v_kmeans,v_minibatch,v_bisecting,v_fcm,p_kmeans,p_minibatch,p_bisecting,p_fcm
1,0.6368,0.6372,0.6368,0.6368,0.0000,0.0000,0.0000,0.0000
2,0.7324,0.7540,0.7576,0.7524,0.0000,0.0000,0.0000,0.0000
3,0.7576,0.7600,0.7620,0.7520,0.0000,0.0000,0.0000,0.0000
4,0.8080,0.8172,0.8180,0.8052,0.0000,0.0000,0.0000,0.0000
5,0.8496,0.8448,0.8448,0.8568,0.0000,0.0000,0.0000,0.0000
6,0.8732,0.8656,0.8724,0.8816,0.0000,0.0000,0.0000,0.0000
7,0.9072,0.9056,0.8924,0.8972,0.0000,0.0000,0.0000,0.0000
8,0.9024,0.9044,0.8948,0.9072,0.0000,0.0000,0.0000,0.0000
9,0.9276,0.9320,0.9236,0.9356,0.0000,0.0000,0.0000,0.0000
10,0.9440,0.9392,0.9336,0.9404,0.0000,0.0000,0.0000,0.0000
11,0.9552,0.9536,0.9488,0.9460,0.0000,0.0000,0.0000,0.0000
12,0.9460,0.9420,0.9404,0.9404,0.0000,0.0000,0.0000,0.0000
13,0.9604,0.9616,0.9568,0.9576,0.0000,0.0000,0.0000,0.0000
14,0.9576,0.9524,0.9500,0.9552,0.0000,0.0000,0.0000,0.0000
15,0.9624,0.9596,0.9544,0.9608,0.0000,0.0000,0.0000,0.0000
16,0.9620,0.9640,0.9596,0.9640,0.0000,0.0000,0.0000,0.0000
17,0.9704,0.9684,0.9688,0.9720,0.0000,0.0000,0.0000,0.0000
18,0.9716,0.9664,0.9680,0.9716,0.0000,0.0000,0.0000,0.0000
19,0.9720,0.9776,0.9764,0.9768,0.0000,0.0000,0.0000,0.0000
20,0.9824,0.9800,0.9788,0.9824,0.0000,0.0000,0.0000,0.0000
