GW,mean_kmeans_mJ,mean_minibatch_mJ,mean_bisecting_mJ,mean_fcm_mJ,min_kmeans_mJ,min_minibatch_mJ,min_bisecting_mJ,min_fcm_mJ,max_kmeans_mJ,max_minibatch_mJ,max_bisecting_mJ,max_fcm_mJ
1,19.78,19.72,19.78,19.78,4.51,4.51,4.51,4.51,105.14,105.14,105.14,105.14
2,10.94,11.59,11.25,11.04,4.51,4.49,4.51,4.51,54.35,55.11,56.38,55.17
3,7.43,7.48,7.81,7.42,4.49,4.49,4.49,4.49,27.37,27.58,28.27,27.37
4,6.42,6.48,6.47,6.45,4.49,4.49,4.49,4.49,15.66,11.45,19.05,19.05
5,6.05,6.36,6.18,6.07,4.49,4.49,4.49,4.49,12.27,15.69,15.30,12.83
6,5.97,5.97,6.02,5.95,4.49,4.49,4.49,4.49,10.46,11.19,11.77,10.09
7,5.74,5.76,5.83,5.80,4.49,4.49,4.49,4.49,10.60,10.97,10.85,10.47
8,5.66,5.67,5.76,5.69,4.49,4.49,4.49,4.49,10.50,11.06,11.06,11.06
9,5.65,5.68,5.71,5.69,4.49,4.49,4.49,4.49,12.37,12.37,12.37,12.37
10,5.58,5.59,5.66,5.61,4.49,4.49,4.49,4.49,13.04,13.04,13.04,13.04
11,5.50,5.50,5.52,5.53,4.49,4.49,4.49,4.49,11.41,11.41,11.04,11.04
12,5.56,5.56,5.58,5.57,4.49,4.49,4.49,4.49,11.10,11.47,11.10,11.84
13,5.54,5.55,5.56,5.55,4.49,4.49,4.49,4.49,11.96,11.96,11.96,11.96
14,5.49,5.49,5.51,5.50,4.49,4.49,4.49,4.49,13.41,13.41,13.41,13.41
15,5.57,5.57,5.57,5.57,4.49,4.49,4.49,4.49,11.17,11.17,11.17,11.17
16,5.41,5.43,5.42,5.42,4.49,4.49,4.49,4.49,11.04,11.04,11.04,11.04
17,5.45,5.45,5.45,5.45,4.49,4.49,4.49,4.49,9.83,9.83,9.83,9.83
18,5.43,5.43,5.43,5.43,4.49,4.49,4.49,4.49,11.90,11.90,11.90,11.90
19,5.46,5.46,5.46,5.46,4.50,4.50,4.50,4.50,10.36,10.36,10.36,10.36
20,5.51,5.51,5.51,5.51,4.49,4.49,4.49,4.49,9.68,9.68,9.68,9.68
